Bug 1,Bug 2,Similarity,Class
36903,34933,0.23605097357627508,dup
35992,34999,0.9990881183969369,dup
35992,33789,0.9999999980096975,dup
35401,35400,1.0,dup
34999,33789,1.0,dup
34576,24327,1.0,dup
32948,32453,1.0,dup
28602,26724,0.02314952722617217,dup
27976,26663,0.409988188389272,dup
26566,24835,0.5295309567268971,dup
26543,25858,1.0,dup
24924,16895,0.24593566048207213,dup
21313,21168,1.0,dup
21313,20535,0.2635594692728195,dup
21168,20535,0.2635594692728195,dup
20025,20024,1.0,dup
19111,18291,1.0,dup
19111,17503,1.0,dup
18714,18698,1.0,dup
18433,18432,1.0,dup
18291,17503,0.99999998478391,dup
17104,16121,0.9515234990735604,dup
16137,16136,6.1421530601092476E-6,dup
15426,14406,1.0,dup
14740,14738,1.0,dup
13763,13762,1.0,dup
12417,12415,1.0,dup
12201,12200,1.0,dup
12201,12199,1.0,dup
12201,12198,1.0,dup
12200,12199,1.0,dup
12200,12198,1.0,dup
12199,12198,1.0,dup
11817,11816,1.0,dup
11310,11309,1.0,dup
10573,10572,1.0,dup
7403,5807,0.9502194132650658,dup
5974,5001,1.0,dup
3356,3188,0.969312367771676,dup
37362,37361,1.658902307922851E-4,non
32274,32273,5.6489473422511475E-8,non
23132,23131,0.007559811293183702,non
34656,34655,0.007580793066968232,non
23840,23839,3.668169499862053E-14,non
20062,20061,0.0181401793989261,non
21412,21411,0.036452704102272436,non
37362,37361,1.658902307922851E-4,non
22050,22049,0.008400235128425654,non
26579,26578,2.8191176630591638E-5,non
23583,23582,6.947659011453396E-4,non
33592,33591,3.2422995149115468E-6,non
33780,33779,0.4469820817548524,non
26048,26047,8.795178626589907E-5,non
21982,21981,1.0,non
25862,25861,2.516505479525871E-16,non
15820,15819,6.0576835670974007E-5,non
22045,22044,0.017979281178574086,non
12323,12322,5.993684329206522E-5,non
33156,33155,0.09928277309392768,non
3355,3354,0.04625643901666084,non
23840,23839,3.668169499862053E-14,non
23780,23779,1.0,non
23138,23137,0.016064608431793692,non
27657,27656,0.05340153184377171,non
6387,6386,0.009521527183801315,non
37310,37309,1.7011534309857416E-5,non
24432,24431,3.4790227346073897E-6,non
37150,37149,0.002755162932719539,non
25093,25092,0.015837752667970037,non
22046,22045,0.07001861740571261,non
17555,17554,6.773555448026135E-4,non
28732,28731,0.05484905980726645,non
18706,18705,2.5353008454973025E-5,non
11291,11290,0.00919011233553615,non
20964,20963,0.007857916013480298,non
34656,34655,0.007580793066968232,non
32055,32054,0.1372856780679309,non
25861,25860,0.02402290994257981,non
27469,27468,0.0017346846318311508,non
33518,33517,0.9976732215746946,non
21792,21791,0.11536977137534085,non
33902,33901,6.144326521417691E-6,non
33902,33901,6.144326521417691E-6,non
12666,12665,0.13483829736823907,non
28205,28204,0.0010357578454273126,non
32555,32554,1.0,non
27926,27925,0.047307313554107513,non
18324,18323,4.329792801729512E-4,non
16136,16135,0.005149518121376241,non
36190,36189,8.368119554055284E-8,non
32555,32554,1.0,non
24519,24518,2.06131333664186E-10,non
11291,11290,0.00919011233553615,non
23583,23582,6.947659011453396E-4,non
22545,22544,7.63067683386976E-5,non
21834,21833,0.017347909684384277,non
24812,24811,1.658095092292295E-8,non
29308,29307,0.043173305395490955,non
18397,18396,0.9999940804133982,non
22350,22349,8.867056109527821E-6,non
25751,25750,1.4566742945571646E-5,non
25599,25598,0.019807998044449437,non
33051,33050,0.002741684004981194,non
25556,25555,0.02688880436606092,non
22455,22454,3.1169811802055426E-6,non
26277,26276,0.0010548876498175832,non
21394,21393,0.018804109185353402,non
20544,20543,0.02131998210677042,non
6466,6465,7.70840813173929E-8,non
7677,7676,0.0076469145992636035,non
23780,23779,1.0,non
22454,22453,0.01094684583599853,non
25862,25861,2.516505479525871E-16,non
22120,22119,0.003252839756201341,non
29308,29307,0.043173305395490955,non
31197,31196,0.020674779633592294,non
29576,29575,0.07515092556802007,non
26049,26048,4.032551746498337E-7,non
32961,32960,0.009019204561614523,non
17555,17554,6.773555448026135E-4,non
33780,33779,0.4469820817548524,non
29308,29307,0.043173305395490955,non
27038,27037,0.016397801292284655,non
23132,23131,0.007559811293183702,non
33684,33683,1.2328814928297272E-4,non
21313,21312,0.052796691942614465,non
22088,22087,0.0404452601850733,non
33231,33230,0.0864307393169972,non
25818,25817,0.011212680235465263,non
21412,21411,0.036452704102272436,non
20728,20727,0.1736852760176292,non
23835,23834,0.0027573272476506087,non
11505,11504,5.656297660483588E-4,non
6387,6386,0.009521527183801315,non
23835,23834,0.0027573272476506087,non
24555,24554,1.0,non
21982,21981,1.0,non
34377,34376,0.031114399447359654,non
23583,23582,6.947659011453396E-4,non
22088,22087,0.0404452601850733,non
32232,32231,0.3695991652284633,non
21394,21393,0.018804109185353402,non
32055,32054,0.1372856780679309,non
23138,23137,0.016064608431793692,non
27815,27814,1.5112553429044893E-4,non
22047,22046,0.007773192101054658,non
22350,22349,8.867056109527821E-6,non
32226,32225,0.0024821460839298598,non
19730,19729,0.05848367053276528,non
26543,26542,5.512053272148811E-7,non
21834,21833,0.017347909684384277,non
24924,24923,0.0012460151841098828,non
31904,31903,0.0014021185581408033,non
24433,24432,1.812350343197434E-6,non
22827,22826,0.0011609645421523913,non
15822,15821,0.37761010375453674,non
33780,33779,0.4469820817548524,non
6466,6465,7.70840813173929E-8,non
30748,30747,7.77638254176495E-10,non
23541,23540,6.735410840759373E-5,non
15820,15819,6.0576835670974007E-5,non
25556,25555,0.02688880436606092,non
32060,32059,0.12260710340801338,non
15822,15821,0.37761010375453674,non
16189,16188,1.1436950606936988E-19,non
23587,23586,1.118039221149542E-7,non
33751,33750,0.00827866669666173,non
21412,21411,0.036452704102272436,non
20158,20157,8.86641579711347E-4,non
4914,4913,0.0018593974507147009,non
22255,22254,0.026888890077227126,non
23586,23585,3.0409233752300586E-18,non
12857,12856,0.02917311842047247,non
20544,20543,0.02131998210677042,non
32860,32859,6.856631230055532E-7,non
33623,33622,2.729439329999256E-5,non
33514,33513,0.007594913519651038,non
32055,32054,0.1372856780679309,non
23542,23541,0.19625811669441875,non
10238,10237,7.220593160317192E-6,non
24167,24166,8.454689564619508E-4,non
28205,28204,0.0010357578454273126,non
32860,32859,6.856631230055532E-7,non
19344,19343,3.824584714601594E-5,non
33684,33683,1.2328814928297272E-4,non
25741,25740,1.8436135855506876E-7,non
27189,27188,1.3811806740116562E-6,non
33903,33902,1.0,non
23542,23541,0.19625811669441875,non
6387,6386,0.009521527183801315,non
24408,24407,0.09999833833880413,non
24639,24638,0.47236655274101463,non
26788,26787,2.7558880114583842E-5,non
15809,15808,8.780419134370492E-12,non
37176,37175,1.0,non
